# producer=CAELIX
# when=2026-02-12T10:12:47
# cwd=
# python=
# command= /core.py --out _Output/04_confinement/04A_corral_global_sweep_optimised/20260212_101246 --corral --corral-geom sphere --traffic-mode telegraph --n 192 --traffic-iters 1 --traffic-c2 0.25 --traffic-gamma 0.001 --traffic-dt 1.0 --traffic-decay 0.0 --corral-radius 80 --corral-omega-start 0.01 --corral-omega-stop 0.62 --corral-omega-steps 1024 --corral-burn 4000 --corral-burn-frac 0.8 --corral-warm 300
# run_id=20260212_101246
# experiment=04A_corral_global_sweep_optimised
# artefact=corral
# n=192
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.25
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# corral_geom=sphere
# corral_radius=80
# corral_omega_start=0.01
# corral_omega_stop=0.62
# corral_omega_steps=1024
# corral_burn=4000
# corral_warm=300
# corral_burn_frac=0.8
# corral_amp=1.0
# corral_center_offset=0,0,0
# traffic_mode=telegraph
# traffic_dt=1
# traffic_c2=0.25
# traffic_gamma=0.001
# traffic_decay=0
# traffic_inject=1
# traffic_sponge_width=0
# traffic_sponge_strength=0
# corral_mask=dirichlet
# corral_geom=sphere
# corral_radius=80
# corral_inside_count=2143611
# corral_omega_start=0.01
# corral_omega_stop=0.62
# corral_omega_steps=1024
# corral_burn_in=4000
# corral_meas_start=3200
# corral_meas_len=800
# corral_warm_steps=300
# corral_burn_frac=0.8
# corral_amp=1
# corral_center_offset=0,0,0
i_omega,omega,e_phi,e_vel,e_tot,e_tot_std,e_tot_max,e_ratio,peak_phi,peak_vel
98,0.06843597262952102,27.658554446412396,0.12465753304257167,27.783211979454936,19.617932355773608,67.55510811287279,0.004507015479933607,1.012908697128296,0.06979666650295258
99,0.06903225806451613,25.98726860941248,0.1261070081690456,26.113375617581568,18.459997081314363,61.175608316995984,0.004852645734510372,1.0218439102172852,0.0706305280327797
100,0.06962854349951124,26.986894263091216,0.1339879260538822,27.120882189145078,19.096692975384673,58.0353378263428,0.0049649257431273455,1.0266664028167725,0.07240603864192963
101,0.07022482893450635,29.64214813885938,0.14480756981000897,29.78695570866936,21.26292461170748,74.82118529621037,0.004885191489214933,1.0304782390594482,0.07290281355381012
102,0.07082111436950146,31.168633111013293,0.1578810551873539,31.32651416620065,22.314835019778943,76.96758621619354,0.005065382707833996,1.03473699092865,0.07376780360937119
103,0.07141739980449657,34.01095863191899,0.17153536609657144,34.182493998015545,24.11289377211744,81.94790644970357,0.0050435322318607605,1.0396956205368042,0.07461564242839813
104,0.07201368523949168,38.18888287798969,0.19308180951496934,38.38196468750465,27.387818185457185,99.2453235510294,0.0050559690403053845,1.0497212409973145,0.0759548544883728
105,0.0726099706744868,46.40163719659599,0.2514562299104633,46.65309342650641,33.11056761291261,109.35282510582196,0.005419124089201417,1.0582925081253052,0.07661200314760208
106,0.07320625610948191,47.12873708638312,0.2582365876471868,47.386973674030266,33.922788841414345,117.01388990406484,0.005479386964557417,1.063723087310791,0.07842560857534409
107,0.07380254154447702,64.80611378816576,0.34626307328766004,65.15237686145353,47.14701307487565,164.913539675156,0.0053430618354851234,1.0792690515518188,0.0798269584774971
108,0.07439882697947213,88.3200989140827,0.49007014323329323,88.81016905731603,62.64715268190932,193.4737728311813,0.005548795226214875,1.0887175798416138,0.08149836957454681
109,0.07499511241446725,87.40622407275175,0.48640366994612433,87.89262774269785,61.49127860991938,202.34997806207693,0.005564863087338783,1.0935953855514526,0.0821308046579361
110,0.07559139784946237,176.1170839253603,0.9989157495165375,177.11599967487678,125.14861072945182,404.94251440596486,0.005671884448983266,1.1368979215621948,0.08595716953277588
111,0.07618768328445748,243.2363234298973,1.4589415120624931,244.69526494195998,175.47763540925678,560.6821892561924,0.0059980412937090215,1.1593395471572876,0.08872421830892563
112,0.07678396871945259,353.36296388668984,2.072220800735051,355.43518468742445,248.49149192513397,782.5845829493946,0.005864284071942321,1.190767526626587,0.09195004403591156
113,0.0773802541544477,1333.1956163706468,7.84502163783152,1341.0406380084792,924.2560494207232,2787.3636791231734,0.0058843740119608155,1.336064338684082,0.10356373339891434
114,0.07797653958944281,2706.5199622987275,16.6659054144167,2723.1858677131454,1900.6802670145285,5680.156788830359,0.006157687970740791,1.2979869842529297,0.10119159519672394
115,0.07857282502443792,2599.1234608039435,15.98556879078675,2615.109029594736,1817.7684691726736,5389.922642694484,0.006150369165550218,0.9317349791526794,0.07313290238380432
116,0.07916911045943303,1143.699853798899,7.057777975482078,1150.7576317743806,801.3927651580594,2453.2517223412165,0.0061710054014950215,0.7322502732276917,0.058094531297683716
117,0.07976539589442815,296.0798067237714,1.938646039703339,298.0184527634747,209.3735857853717,631.7246229376482,0.006547714486695806,0.8538333773612976,0.06879249215126038
118,0.08036168132942326,234.2024981263537,1.5335776149244171,235.73607574127797,167.2257234150131,523.1824685674944,0.006548083932465297,0.8926514983177185,0.07200191169977188
119,0.08095796676441837,154.235222891765,0.9790202992591412,155.21424319102437,109.83083915886812,370.67019461858524,0.0063475792422990505,0.9154826402664185,0.07415590435266495
120,0.08155425219941348,78.84374098106775,0.5245771821281866,79.36831816319585,55.88501914790667,192.87463582320947,0.006653377625170568,0.9438602328300476,0.07724887132644653
121,0.08215053763440859,81.67762342830659,0.553056472628704,82.23067990093517,57.78800865003824,178.31452108292677,0.006771211617269307,0.9475272297859192,0.0783800259232521
122,0.08274682306940372,56.31491669913702,0.38257255372819915,56.69748925286508,41.62285965330787,151.61268006554147,0.0067934496959675865,0.9610819220542908,0.08035311847925186
123,0.08334310850439883,43.46467720315503,0.30955549233026614,43.77423269548532,31.79995317085631,111.23649505493887,0.007122001410096493,0.9776078462600708,0.08138967305421829
124,0.08393939393939394,42.904777563944755,0.2999198076655303,43.204697371610244,30.299723442979555,102.22012150667138,0.0069903592255787005,0.9804721474647522,0.08239936083555222
125,0.08453567937438905,34.94329696781494,0.24177138343600352,35.18506835125094,24.89595125751074,92.70099847365056,0.0069189631321476,0.9891834259033203,0.08368740975856781
126,0.08513196480938416,31.529694785343477,0.23046370065132504,31.760158485994804,22.580933539344034,75.71604109125781,0.0073094174307849116,0.996597945690155,0.08492302149534225
127,0.08572825024437927,29.223040818019626,0.21709810433466067,29.440138922354326,20.923155166395755,71.5036913851249,0.007429004588762213,0.9967747330665588,0.08616086095571518
128,0.08632453567937438,28.333397192304265,0.21067641758710853,28.544073609891356,20.33000217759731,72.26882171913618,0.007435621509033999,1.0013809204101562,0.08717901259660721
129,0.0869208211143695,26.22645295601985,0.20000098115890608,26.426453937178806,18.523802263435662,60.18362318599977,0.0076259256825270206,1.0115556716918945,0.0880797728896141
130,0.0875171065493646,26.154501138058354,0.1979353161129038,26.352436454171276,18.10157729734346,56.81139501430773,0.0075679255003978435,1.0147391557693481,0.08936523646116257
131,0.08811339198435972,27.52715294741019,0.20906739470312743,27.736220342113317,19.464152736328217,68.06296164887686,0.0075949516138678385,1.020074486732483,0.08992256224155426
132,0.08870967741935483,25.83689632426393,0.20723944026539157,26.044135764529337,18.566745320088437,65.70560894131579,0.00802106559798984,1.0238186120986938,0.0913534015417099
133,0.08930596285434994,27.68945325322365,0.22410972726340167,27.913562980487058,19.4837273849548,63.26248950729252,0.00809368553484538,1.0350104570388794,0.09238539636135101
134,0.08990224828934505,29.843625690160167,0.23918809309432787,30.082813783254522,21.124572906858322,75.65656794294549,0.008014712943313162,1.0397872924804688,0.09340522438287735
