# producer=CAELIX
# when=2026-02-18T16:27:46
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09E_collidersg_transistor_binary_baseline/20260218_162745 --collidersg --collidersg-scenario E --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.4,0.0,0.0],"phase":0.0},{"sid":2,"kind":"kink_wall","pos":[132,96,96],"vel":[-0.4,0.0,0.0],"phase":0.0}] --collidersg-steps 5000 --collidersg-log-every 1 --collidersg-track-r 6 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.05 --collidersg-k-outside 5.0 --collidersg-wire-y0 90 --collidersg-wire-y1 102 --collidersg-wire-z0 90 --collidersg-wire-z1 102 --collidersg-wire-bevel 0 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_162745
# experiment=09E_collidersg_transistor_binary_baseline
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.05
# asset_sg_k=nan
# sg_k_inferred=0
# steps=5000
# log_every=1
# phi_abs_every=100
# track_r=6
# peak_thresh=0.001
# sprite_count=2
# scenario=E
# sprites_src=inline_json
# sprite_asset_h5=
# sg_k_outside=5.0
# wire_y0=90
# wire_y1=102
# wire_z0=90
# wire_z1=102
# wire_bevel=0
# artefact=sg_collision_tracks
# scenario=E
# sprites_digest=b3683a389e9b
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# k_grid_enabled=1 sg_k_outside=5.000000 wire_y0=90 wire_y1=102 wire_z0=90 wire_z1=102 wire_bevel=0 domain_mask_enabled=1
# vel0_abs_max=0.461960
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s
47,2,129.971,95.500,95.500,0.01251,0.00000,0.00000,0.642015,ALIVE,12.566370,0.546
48,1,61.029,95.500,95.500,-0.01427,0.00000,0.00000,0.642312,ALIVE,12.566370,0.554
48,2,129.971,95.500,95.500,0.01434,0.00000,0.00000,0.642327,ALIVE,12.566370,0.554
49,1,61.028,95.500,95.500,-0.01434,0.00000,0.00000,0.643119,ALIVE,12.566370,0.561
49,2,129.972,95.500,95.500,0.01404,0.00000,0.00000,0.643134,ALIVE,12.566370,0.561
50,1,61.027,95.500,95.500,-0.01297,0.00000,0.00000,0.644380,ALIVE,12.566370,0.569
50,2,129.973,95.500,95.500,0.01312,0.00000,0.00000,0.644394,ALIVE,12.566370,0.569
51,1,61.027,95.500,95.500,-0.01030,0.00000,0.00000,0.646054,ALIVE,12.566370,0.577
51,2,129.973,95.500,95.500,0.01038,0.00000,0.00000,0.646067,ALIVE,12.566370,0.577
52,1,61.026,95.500,95.500,-0.00648,0.00000,0.00000,0.648103,ALIVE,12.566370,0.585
52,2,129.973,95.500,95.500,0.00641,0.00000,0.00000,0.648114,ALIVE,12.566370,0.585
53,1,61.026,95.500,95.500,-0.00160,0.00000,0.00000,0.650491,ALIVE,12.566370,0.593
53,2,129.974,95.500,95.500,0.00153,0.00000,0.00000,0.650502,ALIVE,12.566370,0.593
54,1,61.027,95.500,95.500,0.00412,0.00000,0.00000,0.653186,ALIVE,12.566370,0.601
54,2,129.973,95.500,95.500,-0.00427,0.00000,0.00000,0.653196,ALIVE,12.566370,0.601
55,1,61.027,95.500,95.500,0.01060,0.00000,0.00000,0.656160,ALIVE,12.566370,0.609
55,2,129.973,95.500,95.500,-0.01068,0.00000,0.00000,0.656170,ALIVE,12.566370,0.609
56,1,61.028,95.500,95.500,0.01785,0.00000,0.00000,0.659388,ALIVE,12.566370,0.617
56,2,129.972,95.500,95.500,-0.01770,0.00000,0.00000,0.659397,ALIVE,12.566370,0.617
57,1,61.029,95.500,95.500,0.02541,0.00000,0.00000,0.662849,ALIVE,12.566370,0.625
57,2,129.971,95.500,95.500,-0.02533,0.00000,0.00000,0.662858,ALIVE,12.566370,0.625
58,1,61.031,95.500,95.500,0.03326,0.00000,0.00000,0.666529,ALIVE,12.566370,0.632
58,2,129.969,95.500,95.500,-0.03357,0.00000,0.00000,0.666536,ALIVE,12.566370,0.632
59,1,61.033,95.500,95.500,0.04128,0.00000,0.00000,0.670414,ALIVE,12.566370,0.640
59,2,129.967,95.500,95.500,-0.04120,0.00000,0.00000,0.670421,ALIVE,12.566370,0.640
60,1,61.035,95.500,95.500,0.04951,0.00000,0.00000,0.674494,ALIVE,12.566370,0.648
60,2,129.964,95.500,95.500,-0.04944,0.00000,0.00000,0.674500,ALIVE,12.566370,0.648
61,1,61.038,95.500,95.500,0.05745,0.00000,0.00000,0.678761,ALIVE,12.566370,0.656
61,2,129.962,95.500,95.500,-0.05768,0.00000,0.00000,0.678767,ALIVE,12.566370,0.656
62,1,61.042,95.500,95.500,0.06546,0.00000,0.00000,0.683210,ALIVE,12.566370,0.664
62,2,129.958,95.500,95.500,-0.06531,0.00000,0.00000,0.683215,ALIVE,12.566370,0.664
63,1,61.045,95.500,95.500,0.07301,0.00000,0.00000,0.687834,ALIVE,12.566370,0.671
63,2,129.955,95.500,95.500,-0.07324,0.00000,0.00000,0.687839,ALIVE,12.566370,0.671
64,1,61.049,95.500,95.500,0.08041,0.00000,0.00000,0.692629,ALIVE,12.566370,0.679
64,2,129.951,95.500,95.500,-0.08026,0.00000,0.00000,0.692632,ALIVE,12.566370,0.679
65,1,61.054,95.500,95.500,0.08743,0.00000,0.00000,0.697586,ALIVE,12.566370,0.687
65,2,129.946,95.500,95.500,-0.08759,0.00000,0.00000,0.697589,ALIVE,12.566370,0.687
66,1,61.058,95.500,95.500,0.09399,0.00000,0.00000,0.702698,ALIVE,12.566370,0.695
66,2,129.942,95.500,95.500,-0.09399,0.00000,0.00000,0.702700,ALIVE,12.566370,0.695
67,1,61.063,95.500,95.500,0.10017,0.00000,0.00000,0.707954,ALIVE,12.566370,0.703
67,2,129.937,95.500,95.500,-0.10010,0.00000,0.00000,0.707954,ALIVE,12.566370,0.703
68,1,61.069,95.500,95.500,0.10605,0.00000,0.00000,0.713340,ALIVE,12.566370,0.710
68,2,129.931,95.500,95.500,-0.10620,0.00000,0.00000,0.713338,ALIVE,12.566370,0.710
69,1,61.074,95.500,95.500,0.11124,0.00000,0.00000,0.718839,ALIVE,12.566370,0.718
69,2,129.926,95.500,95.500,-0.11139,0.00000,0.00000,0.718836,ALIVE,12.566370,0.718
70,1,61.080,95.500,95.500,0.11642,0.00000,0.00000,0.724432,ALIVE,12.566370,0.727
70,2,129.920,95.500,95.500,-0.11627,0.00000,0.00000,0.724427,ALIVE,12.566370,0.727
71,1,61.086,95.500,95.500,0.12115,0.00000,0.00000,0.730095,ALIVE,12.566370,0.734
71,2,129.914,95.500,95.500,-0.12115,0.00000,0.00000,0.730088,ALIVE,12.566370,0.734
72,1,61.092,95.500,95.500,0.12543,0.00000,0.00000,0.735803,ALIVE,12.566370,0.742
72,2,129.908,95.500,95.500,-0.12543,0.00000,0.00000,0.735794,ALIVE,12.566370,0.742
73,1,61.099,95.500,95.500,0.12955,0.00000,0.00000,0.741526,ALIVE,12.566370,0.750
73,2,129.901,95.500,95.500,-0.12970,0.00000,0.00000,0.741515,ALIVE,12.566370,0.750
74,1,61.106,95.500,95.500,0.13351,0.00000,0.00000,0.747234,ALIVE,12.566370,0.758
74,2,129.894,95.500,95.500,-0.13336,0.00000,0.00000,0.747221,ALIVE,12.566370,0.758
75,1,61.112,95.500,95.500,0.13718,0.00000,0.00000,0.752894,ALIVE,12.566370,0.765
75,2,129.887,95.500,95.500,-0.13733,0.00000,0.00000,0.752878,ALIVE,12.566370,0.765
76,1,61.119,95.500,95.500,0.14069,0.00000,0.00000,0.758472,ALIVE,12.566370,0.773
76,2,129.880,95.500,95.500,-0.14069,0.00000,0.00000,0.758455,ALIVE,12.566370,0.773
77,1,61.127,95.500,95.500,0.14435,0.00000,0.00000,0.763936,ALIVE,12.566370,0.781
77,2,129.873,95.500,95.500,-0.14435,0.00000,0.00000,0.763917,ALIVE,12.566370,0.781
78,1,61.870,95.500,95.500,14.86786,0.00000,0.00000,0.770837,ALIVE,12.566370,0.789
78,2,129.130,95.500,95.500,-14.86786,0.00000,0.00000,0.770865,ALIVE,12.566370,0.789
79,1,61.876,95.500,95.500,0.12474,0.00000,0.00000,0.779351,ALIVE,12.566370,0.797
79,2,129.124,95.500,95.500,-0.12482,0.00000,0.00000,0.779379,ALIVE,12.566370,0.797
80,1,61.883,95.500,95.500,0.13008,0.00000,0.00000,0.787924,ALIVE,12.566370,0.805
80,2,129.117,95.500,95.500,-0.13031,0.00000,0.00000,0.787951,ALIVE,12.566370,0.805
81,1,61.890,95.500,95.500,0.13504,0.00000,0.00000,0.796534,ALIVE,12.566370,0.814
81,2,129.110,95.500,95.500,-0.13489,0.00000,0.00000,0.796561,ALIVE,12.566370,0.814
82,1,61.897,95.500,95.500,0.13954,0.00000,0.00000,0.805156,ALIVE,12.566370,0.822
82,2,129.103,95.500,95.500,-0.13947,0.00000,0.00000,0.805182,ALIVE,12.566370,0.822
83,1,61.904,95.500,95.500,0.14389,0.00000,0.00000,0.813759,ALIVE,12.566370,0.829
83,2,129.096,95.500,95.500,-0.14404,0.00000,0.00000,0.813785,ALIVE,12.566370,0.829
84,1,61.911,95.500,95.500,0.14786,0.00000,0.00000,0.822311,ALIVE,12.566370,0.837
84,2,129.089,95.500,95.500,-0.14801,0.00000,0.00000,0.822336,ALIVE,12.566370,0.837
85,1,61.919,95.500,95.500,0.15167,0.00000,0.00000,0.830778,ALIVE,12.566370,0.845
85,2,129.081,95.500,95.500,-0.15167,0.00000,0.00000,0.830802,ALIVE,12.566370,0.845
86,1,61.926,95.500,95.500,0.15549,0.00000,0.00000,0.839122,ALIVE,12.566370,0.853
