# producer=CAELIX
# when=2026-02-18T20:59:13
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09H_collidersg_transistor_tjunction/20260218_205912 --collidersg --collidersg-scenario E --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.52,0.0,0.0],"phase":0.0},{"sid":2,"kind":"kink_wall","pos":[120,60,96],"vel":[0.0,0.0,0.0],"phase":0.0,"track_only":true}] --collidersg-steps 2500 --collidersg-log-every 1 --collidersg-track-r 6 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.08 --collidersg-k-outside 5.0 --collidersg-wire-y0 90 --collidersg-wire-y1 102 --collidersg-wire-z0 90 --collidersg-wire-z1 102 --collidersg-wire-bevel 0 --collidersg-wire-geom t_junction --collidersg-junction-x 120 --collidersg-branch-len 48 --collidersg-branch-thick 2 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_205912
# experiment=09H_collidersg_transistor_tjunction
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.08
# asset_sg_k=nan
# sg_k_inferred=0
# steps=2500
# log_every=1
# phi_abs_every=100
# track_r=6
# peak_thresh=0.001
# sprite_count=2
# scenario=E
# sprites_src=inline_json
# sprite_asset_h5=
# sg_k_outside=5.0
# wire_y0=90
# wire_y1=102
# wire_z0=90
# wire_z1=102
# wire_bevel=0
# wire_geom=t_junction
# junction_x=120
# branch_len=48
# branch_thick=2
# artefact=sg_collision_tracks
# scenario=E
# sprites_digest=07d70e47f69e
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# k_grid_enabled=1 sg_k_outside=5.000000 wire_geom=t_junction wire_y0=90 wire_y1=102 wire_z0=90 wire_z1=102 wire_bevel=0 junction_x=120 branch_len=48 branch_thick=2 domain_mask_enabled=1
# vel0_abs_max=1.477914
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s,in_trunk,in_branch_pos,in_branch_neg,in_branch,dy_from_trunk_c
34,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.448,0,0,1,1,-35.500
35,1,63.067,96.000,96.000,1.12495,0.00000,0.00000,1.194126,ALIVE,6.283185,0.456,1,0,0,0,0.500
35,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.456,0,0,1,1,-35.500
36,1,63.117,96.000,96.000,0.99083,0.00000,0.00000,1.180299,ALIVE,6.283185,0.464,1,0,0,0,0.500
36,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.464,0,0,1,1,-35.500
37,1,63.159,96.000,96.000,0.84953,0.00000,0.00000,1.158947,ALIVE,6.283185,0.472,1,0,0,0,0.500
37,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.472,0,0,1,1,-35.500
38,1,63.195,96.000,96.000,0.70549,0.00000,0.00000,1.130479,ALIVE,6.283185,0.480,1,0,0,0,0.500
38,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.480,0,0,1,1,-35.500
39,1,63.223,96.000,96.000,0.56252,0.00000,0.00000,1.095446,ALIVE,6.283185,0.488,1,0,0,0,0.500
39,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.488,0,0,1,1,-35.500
40,1,63.244,96.000,96.000,0.42480,0.00000,0.00000,1.054542,ALIVE,6.283185,0.495,1,0,0,0,0.500
40,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.495,0,0,1,1,-35.500
41,1,63.813,96.000,96.000,11.37939,0.00000,0.00000,1.045212,ALIVE,6.283185,0.503,1,0,0,0,0.500
41,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.503,0,0,1,1,-35.500
42,1,63.874,96.000,96.000,1.22528,0.00000,0.00000,1.053317,ALIVE,6.283185,0.511,1,0,0,0,0.500
42,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.511,0,0,1,1,-35.500
43,1,63.930,96.000,96.000,1.12335,0.00000,0.00000,1.055596,ALIVE,6.283185,0.519,1,0,0,0,0.500
43,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.519,0,0,1,1,-35.500
44,1,63.981,96.000,96.000,1.00296,0.00000,0.00000,1.052078,ALIVE,6.283185,0.526,1,0,0,0,0.500
44,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.526,0,0,1,1,-35.500
45,1,64.024,96.000,96.000,0.86670,0.00000,0.00000,1.042877,ALIVE,6.283185,0.534,1,0,0,0,0.500
45,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.534,0,0,1,1,-35.500
46,1,64.060,96.000,96.000,0.71838,0.00000,0.00000,1.028191,ALIVE,6.283185,0.542,1,0,0,0,0.500
46,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.542,0,0,1,1,-35.500
47,1,64.088,96.000,96.000,0.56213,0.00000,0.00000,1.008311,ALIVE,6.283185,0.550,1,0,0,0,0.500
47,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.550,0,0,1,1,-35.500
48,1,64.108,96.000,96.000,0.40298,0.00000,0.00000,0.983618,ALIVE,6.283185,0.558,1,0,0,0,0.500
