# producer=CAELIX
# when=2026-02-11T17:31:27
# cwd=
# python=
# command= /core.py --out _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126 --n 512 --steps 0 --traffic-iters 250000 --traffic-rate 0.10 --traffic-inject 1.0 --traffic-decay 0.0 --k-index 1.0 --X0 8000 --ds 1.0 --eps 0.005 --delta-load --dump-radial _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_radial_n512_20260211_173126.csv --dump-radial-fit _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_radial_fit_n512_20260211_173126.csv --dump-shapiro _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_shapiro_n512_20260211_173126.csv
# run_id=20260211_173126
# n=512
# steps=0
# traffic_iters=250000
# seed=6174
# lattice_init=sparse
# artefact=radial
r,mean_phi,count,std_phi
246.0,0.00012291307211853564,763256,1.6140267689479515e-05
247.0,0.00011761703353840858,768288,1.673533370194491e-05
248.0,0.00011252839613007382,777056,1.7310259863734245e-05
249.0,0.00010758124699350446,780744,1.794258423615247e-05
250.0,0.000102726582554169,788144,1.8604143406264484e-05
251.0,9.808336471905932e-05,791808,1.9280836568214e-05
252.0,9.353173663839698e-05,806408,1.996170249185525e-05
253.0,8.90273367986083e-05,807872,2.073343966912944e-05
254.0,8.474403875879943e-05,815640,2.1488272977876477e-05
255.0,8.05584859335795e-05,816056,2.227334880444687e-05
256.0,7.704954623477533e-05,825384,2.217973451479338e-05
257.0,7.397670560749248e-05,816008,2.143389247066807e-05
258.0,7.110383739927784e-05,815168,2.0687733922386542e-05
259.0,6.828633922850713e-05,812040,2.0007086277473718e-05
260.0,6.5637803345453e-05,810632,1.9224316929467022e-05
261.0,6.303833652054891e-05,803952,1.8580614778329618e-05
262.0,6.052644312148914e-05,801176,1.790206260920968e-05
263.0,5.81892418267671e-05,796464,1.726425216475036e-05
264.0,5.5803971918066964e-05,796616,1.6675669030519202e-05
265.0,5.3576091886498034e-05,788672,1.606734440429136e-05
266.0,5.143982343724929e-05,788064,1.549421540403273e-05
267.0,4.9373527872376144e-05,782264,1.4935299986973405e-05
268.0,4.741504380945116e-05,778392,1.4372750229085796e-05
269.0,4.545449701254256e-05,776240,1.387688098475337e-05
270.0,4.361532410257496e-05,772560,1.333920590695925e-05
271.0,4.184699719189666e-05,767360,1.2880511349067092e-05
272.0,4.011937198811211e-05,765776,1.2415232959028799e-05
273.0,3.848670530715026e-05,760248,1.1927991181437392e-05
274.0,3.687092976178974e-05,754016,1.152468757936731e-05
275.0,3.540496254572645e-05,751560,1.10535520434496e-05
276.0,3.391116842976771e-05,746672,1.066882032318972e-05
277.0,3.2478532375534996e-05,740336,1.0275431122863665e-05
278.0,3.115168874501251e-05,740688,9.885225153993815e-06
279.0,2.981921898026485e-05,732248,9.530543138680514e-06
280.0,2.8600090445252135e-05,729768,9.139270332525484e-06
281.0,2.7374377168598585e-05,724928,8.813714885036461e-06
282.0,2.620976374601014e-05,723240,8.496505870425608e-06
283.0,2.5108536647167057e-05,715208,8.149296263582073e-06
284.0,2.4034658054006286e-05,711512,7.832751180103514e-06
285.0,2.3017233615973964e-05,707016,7.531971732532838e-06
286.0,2.1990412278682925e-05,701480,7.282299975486239e-06
287.0,2.107224463543389e-05,697584,6.967930858081672e-06
288.0,2.0156738173682243e-05,691640,6.701221991534112e-06
289.0,1.927335688378662e-05,687312,6.451502940763021e-06
290.0,1.845838596636895e-05,684104,6.177042905619601e-06
291.0,1.7608159396331757e-05,675008,5.9652707022905815e-06
292.0,1.6866266378201544e-05,674400,5.709922334062867e-06
293.0,1.6103313100757077e-05,665408,5.49816695638583e-06
294.0,1.5398827599710785e-05,665712,5.270543624646962e-06
295.0,1.471062842028914e-05,657392,5.068687187304022e-06
296.0,1.4037008440936916e-05,650424,4.866152266913559e-06
297.0,1.3443221178022213e-05,647528,4.671589522331487e-06
298.0,1.280802007386228e-05,642152,4.476440153666772e-06
299.0,1.2228410923853517e-05,634008,4.302427441871259e-06
300.0,1.1679384442686569e-05,632360,4.130325123696821e-06
301.0,1.1148123121529352e-05,623928,3.960878075304208e-06
302.0,1.0637437299010344e-05,619880,3.7924005482636858e-06
303.0,1.0133128853340168e-05,613280,3.648366373454337e-06
304.0,9.684976248536259e-06,610584,3.4874651646532584e-06
305.0,9.216361831931863e-06,601184,3.352503881615121e-06
306.0,8.7929583969526e-06,595632,3.2078887670650147e-06
307.0,8.369251190742943e-06,592232,3.0819710445939563e-06
308.0,7.98874953034101e-06,585384,2.9493303372873925e-06
309.0,7.60330385674024e-06,578672,2.8289136935200077e-06
310.0,7.241050298034679e-06,575288,2.701355697354302e-06
311.0,6.88815453031566e-06,566112,2.599070285214111e-06
312.0,6.5635890678095166e-06,562400,2.4841713184287073e-06
313.0,6.245956683414988e-06,555072,2.3758288989483844e-06
314.0,5.931789473834215e-06,553088,2.2771146177547053e-06
315.0,5.649401828122791e-06,540864,2.177392843805137e-06
316.0,5.368952315620845e-06,537848,2.0886811853415566e-06
317.0,5.10365180161898e-06,528728,1.9938395325880265e-06
318.0,4.841423560719704e-06,523680,1.9134859030600637e-06
319.0,4.605027697834885e-06,519632,1.8303097704119864e-06
320.0,4.375526259536855e-06,510600,1.747193664414226e-06
321.0,4.150364475208335e-06,504560,1.6721276097086957e-06
322.0,3.9341539377346635e-06,498480,1.6030724054871826e-06
323.0,3.7417923977045575e-06,492176,1.5295232742573717e-06
324.0,3.5400116757955402e-06,486368,1.466609091949067e-06
325.0,3.3561570944584673e-06,476544,1.4016715113029932e-06
326.0,3.182002956236829e-06,473912,1.3374619811656885e-06
327.0,3.014085905306274e-06,463536,1.285119537897117e-06
328.0,2.857962954294635e-06,458504,1.2213712352604489e-06
329.0,2.6980094389728038e-06,450440,1.1746224117814563e-06
330.0,2.559881295383093e-06,443952,1.1213090829187422e-06
331.0,2.4182058950827923e-06,439808,1.0709052276069997e-06
332.0,2.285596792717115e-06,429456,1.0282853963872185e-06
333.0,2.1606999780487968e-06,423200,9.787385124582215e-07
334.0,2.0443551420612494e-06,416184,9.413165571459103e-07
335.0,1.927312723637442e-06,407576,8.994937843453954e-07
336.0,1.8209198060503695e-06,403352,8.595835652158712e-07
337.0,1.719866872917919e-06,391776,8.240692750405287e-07
338.0,1.621396677364828e-06,390104,7.884566457505571e-07
339.0,1.5303421605494805e-06,378552,7.553097702839295e-07
340.0,1.4425087329072994e-06,371720,7.221275950541894e-07
341.0,1.358634335701936e-06,365760,6.929494702490047e-07
342.0,1.282376388189732e-06,356912,6.652720117017452e-07
343.0,1.206780552820419e-06,350264,6.343134373310022e-07
344.0,1.137158847086539e-06,340944,6.093573006182851e-07
345.0,1.0709901516747777e-06,335024,5.830562486153212e-07
346.0,1.0090143405250274e-06,326856,5.608965807368804e-07
347.0,9.509496408099949e-07,317768,5.354028189685778e-07
348.0,8.898070973373251e-07,311304,5.140072403264639e-07
349.0,8.501932597937412e-07,301808,4.918705940326618e-07
350.0,7.901911658336758e-07,297656,4.7186676965793595e-07
351.0,7.499040179936856e-07,284928,4.4963951495446963e-07
352.0,7.031890163489152e-07,280232,4.319064714763954e-07
353.0,6.678554314021312e-07,270408,4.12208152056337e-07
354.0,6.30040233318141e-07,263048,3.9279137808989617e-07
355.0,5.899773896089755e-07,255128,3.7584621281894215e-07
356.0,5.640261520056811e-07,246336,3.568040938262129e-07
357.0,5.313293627295934e-07,238400,3.4117104519282293e-07
358.0,5.03572664456442e-07,229176,3.2233620572696964e-07
359.0,4.77370520002296e-07,220832,3.056706248116825e-07
360.0,4.568798033233179e-07,212928,2.894237525197241e-07
361.0,4.3455864329189353e-07,204368,2.732454333909118e-07
362.0,4.125056989323639e-07,197120,2.5673523396108067e-07
363.0,3.911504791176412e-07,188232,2.420343037101702e-07
364.0,3.72294181261168e-07,182336,2.3021675588097423e-07
365.0,3.5297273370815674e-07,174936,2.1610540557048807e-07
366.0,3.32017151549735e-07,169592,2.0421050805907726e-07
367.0,3.1425196311829495e-07,162624,1.9305301179883827e-07
368.0,2.9795751288475003e-07,158528,1.8256847056363767e-07
369.0,2.7967541882389924e-07,152720,1.7217202241681662e-07
370.0,2.638698788359761e-07,145752,1.6222617205130518e-07
371.0,2.4982330160128186e-07,142496,1.535241125338871e-07
372.0,2.348054835010771e-07,137400,1.4463884667748061e-07
373.0,2.2078864958530175e-07,132200,1.3627673922655958e-07
374.0,2.0717949666959612e-07,126560,1.2801073978607747e-07
375.0,1.9629339931270806e-07,123552,1.2124348813813413e-07
376.0,1.8413480518120195e-07,118760,1.1399673383039044e-07
377.0,1.7226039972229046e-07,113784,1.0707590547553991e-07
378.0,1.6131600943936064e-07,109880,1.0029785357801302e-07
379.0,1.526879316315899e-07,106776,9.521679089630197e-08
380.0,1.4285481597653416e-07,102128,8.915370841577896e-08
381.0,1.3236399354354944e-07,98936,8.316703059563224e-08
382.0,1.2469554633298685e-07,94680,7.857725137228044e-08
383.0,1.1744358374699004e-07,91664,7.398811163739083e-08
384.0,1.0892566137954418e-07,87864,6.88592010078537e-08
385.0,1.0084487911399265e-07,83840,6.422056486599104e-08
386.0,9.570212711196291e-08,81216,6.07041386047058e-08
387.0,8.913362137263903e-08,78080,5.68499736175454e-08
388.0,8.209389790181376e-08,75008,5.274620917816719e-08
389.0,7.640008448106528e-08,70872,4.897085403854362e-08
390.0,7.250748268461393e-08,69080,4.662612340666783e-08
391.0,6.627890769550504e-08,66624,4.316880009014312e-08
392.0,6.123244844502551e-08,62744,3.988341745753132e-08
393.0,5.708677619509217e-08,59712,3.6911387724103406e-08
394.0,5.340684694488118e-08,58448,3.4993995257082133e-08
395.0,4.894750915696022e-08,55160,3.2164557239866554e-08
396.0,4.5044284746609264e-08,52368,2.9571994630828158e-08
397.0,4.18452863470975e-08,50360,2.767570883577264e-08
398.0,3.8800475721245675e-08,48264,2.5804810732665828e-08
399.0,3.5324919878121364e-08,45656,2.3648109248597393e-08
400.0,3.219552269229098e-08,42680,2.14252384722613e-08
401.0,3.0339204926121965e-08,41448,2.027323375841661e-08
402.0,2.774640250891025e-08,39224,1.8637301479884627e-08
403.0,2.4837008893996426e-08,37248,1.6927055312976336e-08
404.0,2.2461172477505897e-08,34616,1.523311610185374e-08
405.0,2.1310208708769096e-08,33768,1.4600500364281288e-08
406.0,1.910360758472507e-08,31664,1.3092490647181876e-08
407.0,1.7160569854013374e-08,28952,1.1654112341830114e-08
408.0,1.5397947805695367e-08,27840,1.0673910644243279e-08
409.0,1.4443945595132845e-08,26720,1.0058310628835443e-08
410.0,1.2696557583069534e-08,24648,8.929399442081376e-09
411.0,1.1098886254501394e-08,22664,7.809413560266876e-09
412.0,1.0446239429029447e-08,21456,7.143258429209709e-09
413.0,9.381563970123352e-09,20528,6.6716800972699275e-09
414.0,8.02416355583091e-09,18632,5.858626916932508e-09
415.0,6.82583500832834e-09,16968,4.934494146624502e-09
416.0,6.628882331938257e-09,16808,4.634539418901795e-09
417.0,5.87881920921518e-09,14856,4.170189527030743e-09
418.0,4.826986810257949e-09,13448,3.6410519044238754e-09
419.0,3.960362260357897e-09,12168,2.915792052249344e-09
420.0,3.894857325548173e-09,12440,2.8110929140012786e-09
421.0,3.3813249977754367e-09,10592,2.393180098536618e-09
422.0,2.647918551090811e-09,9000,2.1085559964717504e-09
423.0,2.112561903189203e-09,8504,1.6157875037947633e-09
424.0,2.0419235191582175e-09,8496,1.5240898543211756e-09
425.0,1.7060552970349363e-09,7136,1.2544227878663605e-09
426.0,1.3091360218098202e-09,5384,1.0821828988483162e-09
