# producer=CAELIX
# when=2026-02-11T23:28:42
# cwd=
# python=
# command= /core.py --out _Output/02_interference/02A_double_slit_single_slit_control/20260211_232841 --double-slit --ds-single-slit --ds-source sine --ds-omega 0.80 --ds-gun-speed 0.0 --ds-burn 600 --ds-window 200 --ds-sample-every 4 --ds-amp 1000.0 --traffic-mode telegraph --traffic-gamma 0.0001 --traffic-boundary sponge --traffic-sponge-width 32 --traffic-sponge-strength 1.0 --n 512 --ds-wall-x 256 --ds-detector-x 470 --ds-gun-stop 246 --ds-steps 5000 --ds-slit-width 8 --ds-sample-every 1
# run_id=20260211_232841
# experiment=02A_double_slit_single_slit_control
# artefact=double_slit
# n=512
# ds_steps=5000
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.25
# traffic_gamma=0.0001
# traffic_dt=1.0
# traffic_decay=0.0
# double-slit
# n=512 steps=5000 wall_x=256 detector_x=470 cz=256 cy=256
# slits: slit_sep=16 slit_width=8 single_slit=1 y1=[252:260] y2=[0:0] z=[0:512)
# detector: line_y at x=470, z=256; intensity=phi^2
# detector_y=[32:480) boundary=sponge sponge_width=32 sponge_strength=1
# gun: start=10 stop=246 speed=0
# src: mode=sine amp=1000 omega=0.8 half_period=0
# chirality: select=0 field=none
# sampling: burn=600 sample_every=1 samples=4400 window=200
# dump_samples=0
# section:pattern_mean
y,y_off,intensity,intensity_norm
166,-90,2.21326399988e-12,0.00234626124416
167,-89,2.27606778101e-12,0.00241283896722
168,-88,2.3367011151e-12,0.00247711581892
169,-87,2.39626168088e-12,0.00254025543857
170,-86,2.45656974259e-12,0.00260418747194
171,-85,2.51910134053e-12,0.00267047665606
172,-84,2.58394164634e-12,0.00273921328061
173,-83,2.64980009331e-12,0.00280902922743
174,-82,2.71488680209e-12,0.00287802706155
175,-81,2.77780823806e-12,0.00294472950945
176,-80,2.83841658272e-12,0.00300897987007
177,-79,2.89789038458e-12,0.00307202751209
178,-78,2.95796962697e-12,0.00313571697616
179,-77,3.02006911946e-12,0.00320154808917
180,-76,3.08436503448e-12,0.00326970760994
181,-75,3.14978716004e-12,0.00333906101637
182,-74,3.21485136025e-12,0.00340803498935
183,-73,3.27813464042e-12,0.00347512102503
184,-72,3.33888251756e-12,0.00353951930279
185,-71,3.39749420503e-12,0.00360165302509
186,-70,3.45504167967e-12,0.00366265858496
187,-69,3.51282224219e-12,0.00372391123919
188,-68,3.57211905113e-12,0.0037867712526
189,-67,3.63325736318e-12,0.00385158342688
190,-66,3.695427104e-12,0.00391748900952
191,-65,3.75762235517e-12,0.00398342163546
192,-64,3.81871163734e-12,0.00404818183361
193,-63,3.87758267702e-12,0.00411059049285
194,-62,3.93392994133e-12,0.00417032372055
195,-61,3.98814162259e-12,0.00422779303589
196,-60,4.0408703897e-12,0.00428369032728
197,-59,4.09324798918e-12,0.00433921534902
198,-58,4.14637515882e-12,0.00439553498335
199,-57,4.20050223869e-12,0.00445291461351
200,-56,4.2555397193e-12,0.00451125935129
201,-55,4.31130696552e-12,0.00457037770704
202,-54,4.36705547378e-12,0.00462947619884
203,-53,4.42173601283e-12,0.0046874425461
204,-52,4.47466909648e-12,0.0047435564316
205,-51,4.52548808801e-12,0.0047974291871
206,-50,4.57406426126e-12,0.00484892435111
207,-49,4.62066699237e-12,0.00489832748688
208,-48,4.66572082542e-12,0.00494608864976
209,-47,4.70972609637e-12,0.00499273824139
210,-46,4.75333452396e-12,0.00503896714295
211,-45,4.79711290743e-12,0.0050853762132
212,-44,4.84117706286e-12,0.00513208822774
213,-43,4.88543933256e-12,0.00517901026143
214,-42,4.92990864504e-12,0.00522615177931
215,-41,4.97445195389e-12,0.00527337174008
216,-40,5.01851364433e-12,0.00532008114151
217,-39,5.06150452293e-12,0.00536565538494
218,-38,5.10329408805e-12,0.00540995612677
219,-37,5.14377703435e-12,0.00545287173374
220,-36,5.18252326142e-12,0.0054939462603
221,-35,5.21930119805e-12,0.00553293421987
222,-34,5.25441487534e-12,0.0055701579131
223,-33,5.28802476581e-12,0.00560578745545
224,-32,5.32003321957e-12,0.00563971932917
225,-31,5.35062315524e-12,0.00567214744463
226,-30,5.3801771405e-12,0.00570347735837
227,-29,5.40880714403e-12,0.00573382776742
228,-28,5.43656321086e-12,0.00576325172403
229,-27,5.46361612055e-12,0.00579193027008
230,-26,5.49001584662e-12,0.00581991638205
231,-25,5.51578639332e-12,0.00584723550664
232,-24,5.54101437567e-12,0.00587397946365
233,-23,5.56559893423e-12,0.00590004133289
234,-22,5.58933919615e-12,0.00592520817086
235,-21,5.61236306945e-12,0.0059496155717
236,-20,5.63472595317e-12,0.00597332226344
237,-19,5.65610528964e-12,0.00599598630559
238,-18,5.67635218424e-12,0.00601744985631
239,-17,5.69574918598e-12,0.00603801244325
240,-16,5.71421966263e-12,0.00605759282929
241,-15,5.73138187241e-12,0.0060757863334
242,-14,5.74729211727e-12,0.00609265264076
243,-13,5.76227081713e-12,0.00610853142566
244,-12,5.77610117851e-12,0.00612319286726
245,-11,5.78848535518e-12,0.00613632122148
246,-10,5.79965061728e-12,0.00614815741533
247,-9,5.8098479005e-12,0.00615896746349
248,-8,5.81880060581e-12,0.00616845814581
249,-7,5.82635041951e-12,0.00617646163535
250,-6,5.83278260605e-12,0.00618328033839
251,-5,5.83822827405e-12,0.00618905324203
252,-4,5.84239480311e-12,0.00619347014199
253,-3,5.84522344683e-12,0.00619646876172
254,-2,5.84699163847e-12,0.00619834320577
255,-1,5.84773703187e-12,0.00619913339061
256,0,5.84716649083e-12,0.00619852856518
257,1,5.84528522726e-12,0.0061965342546
258,2,5.84237157419e-12,0.00619344551721
259,3,5.83840984378e-12,0.00618924572246
260,4,5.83310625217e-12,0.00618362343273
261,5,5.82652976437e-12,0.00617665175722
262,6,5.81895931643e-12,0.0061686263935
263,7,5.81028685673e-12,0.00615943279704
264,8,5.80020743256e-12,0.0061487476902
265,9,5.7888934807e-12,0.00613675387167
266,10,5.77660647935e-12,0.00612372853214
267,11,5.76311896754e-12,0.00610943054228
268,12,5.74817980769e-12,0.00609359367339
269,13,5.73210587664e-12,0.00607655384377
270,14,5.71509600863e-12,0.0060585218358
271,15,5.69685639293e-12,0.00603918618338
